Club,Position,Starter_Name,Starter_Rating,Backup_Name,Backup_Rating,Gap
LOSC Lille,Defender,Edgar Ié,74,A. Soumaoro,74,0
LOSC Lille,Midfielder,N. Pépé,76,Thiago Maia,75,1
LOSC Lille,Attacker,Rafael Leão,72,Rui Fonte,72,0
1. FC Nürnberg,Goalkeeper,C. Mathenia,73,P. Klandt,69,4
1. FC Nürnberg,Defender,Ewerton,74,G. Margreitter,74,0
1. FC Nürnberg,Midfielder,Matheus Pereira,76,Y. Kubo,74,2
1. FC Nürnberg,Attacker,M. Ishak,73,A. Zreľák,68,5
Clube Sport Marítimo,Goalkeeper,A. Abedzadeh,72,Charles,71,1
Clube Sport Marítimo,Defender,Bebeto,74,Zainadine,74,0
Clube Sport Marítimo,Midfielder,Danny,76,J. Correa,72,4
Clube Sport Marítimo,Attacker,J. Tagueu,72,Rodrigo Pinho,70,2
Real Sporting de Gijón,Goalkeeper,Diego Mariño,76,Dani Martín,66,10
Real Sporting de Gijón,Defender,Molinero,73,André Geraldes,73,0
Real Sporting de Gijón,Midfielder,Álvaro Jiménez,74,Carmona,74,0
Real Sporting de Gijón,Attacker,U. Đurđević,70,N. Manzambi,65,5
BB Erzurumspor,Goalkeeper,I. Šehić,65,H. Canbazoğlu,64,1
BB Erzurumspor,Defender,E. Korkmaz,70,Auremir,69,1
BB Erzurumspor,Midfielder,S. Tshabalala,76,O. Hurmacı,72,4
BB Erzurumspor,Attacker,G. Sunu,71,L. Thy,70,1
Shandong Luneng TaiShan FC,Goalkeeper,Wang Dalei,69,Liu Zhenli,61,8
Shandong Luneng TaiShan FC,Defender,Gil,76,Dai Lin,70,6
Shandong Luneng TaiShan FC,Midfielder,Hao Junmin,72,Wu Xinghan,68,4
Shandong Luneng TaiShan FC,Attacker,Diego Tardelli,76,Roger Guedes,74,2
Club Atlético Colón,Goalkeeper,L. Burián,73,J. Aylagas,63,10
Club Atlético Colón,Defender,G. Ortíz,74,G. Toledo,73,1
Club Atlético Colón,Midfielder,M. Fritzler,75,M. Estigarribia,74,1
Club Atlético Colón,Attacker,A. Ruiz,76,J. Correa,72,4
Bahia,Goalkeeper,Victorino Magela,74,Fepe Avedo,67,7
Bahia,Defender,Juli Freitinho,76,Padilhisco,74,2
Bahia,Midfielder,Pietrson Mendes,73,Adeilson Gesser,71,2
Bahia,Attacker,Santi da Bruma,72,Enzio Julião,68,4
Once Caldas,Goalkeeper,J. Cuadrado,76,S. Román,65,11
Once Caldas,Defender,A. Correa,74,D. Peralta,72,2
Once Caldas,Midfielder,J. Nieto,72,D. Arias,72,0
Once Caldas,Attacker,D. Lemos,68,C. Amaya,65,3
FC Groningen,Goalkeeper,S. Padt,76,K. Begois,67,9
FC Groningen,Defender,M. te Wierik,71,J. Chabot,68,3
FC Groningen,Midfielder,R. Doan,73,D. Warmerdam,69,4
FC Groningen,Attacker,M. Mahi,72,M. Cassierra,70,2
Angers SCO,Goalkeeper,L. Butelle,75,Z. Boucher,69,6
Angers SCO,Defender,R. Thomas,76,I. Traoré,75,1
Angers SCO,Midfielder,T. Mangani,76,F. Tait,75,1
Angers SCO,Attacker,S. Bahoken,72,Cristian López,71,1
Paraná,Goalkeeper,Luciano Cacheira,69,Sander Asevedo,63,6
Paraná,Defender,Rafael Cachoira,76,Jonas Damasto,72,4
Paraná,Midfielder,Kauã Abranches,74,Paulolettinho,71,3
Paraná,Attacker,Eltildo Bessa,71,Danilo Sacrio,66,5
Antalyaspor,Goalkeeper,R. Boffin,70,F. Kaplan,68,2
Antalyaspor,Defender,Diego Ângelo,72,S. Dursun,70,2
Antalyaspor,Midfielder,Maicón,76,W. Vainqueur,76,0
Antalyaspor,Attacker,M. Erdinç,72,S. Doukara,71,1
Minnesota United FC,Goalkeeper,B. Shuttleworth,69,M. Lampson,67,2
Minnesota United FC,Defender,F. Calvo,71,M. Boxall,67,4
Minnesota United FC,Midfielder,D. Quintero,76,K. Molino,72,4
Minnesota United FC,Attacker,A. Rodríguez,73,A. Danladi,64,9
Club León,Goalkeeper,R. Cota,74,W. Yarbrough,68,6
Club León,Defender,W. Tesillo,74,A. Mosquera,72,2
Club León,Midfielder,L. Montes,72,P. Aquino,71,1
Club León,Attacker,M. Boselli,76,W. González,73,3
Empoli,Goalkeeper,I. Provedel,71,P. Terracciano,71,0
Empoli,Defender,L. Antonelli,76,M. Silvestre,75,1
Empoli,Midfielder,M. Zajc,75,A. Acquah,73,2
Empoli,Attacker,F. Caputo,75,Alejandro Rodríguez,71,4
VVV-Venlo,Goalkeeper,L. Unnerstall,76,D. van Crooij,64,12
VVV-Venlo,Defender,J. Promes,68,N. Röseler,68,0
VVV-Venlo,Midfielder,T. Sušić,72,D. Post,68,4
VVV-Venlo,Attacker,P. Mlapa,68,J. Opoku,67,1
Leeds United,Goalkeeper,B. Peacock-Farrell,68,W. Huffer,55,13
Leeds United,Defender,P. Jansson,76,B. Douglas,75,1
Leeds United,Midfielder,Pablo Hernández,75,Samu Saiz,74,1
Leeds United,Attacker,K. Roofe,74,P. Bamford,71,3
Viktoria Plzeň,Goalkeeper,M. Kozáčik,75,A. Hruška,72,3
Viktoria Plzeň,Defender,D. Limberský,76,R. Hubník,74,2
Viktoria Plzeň,Midfielder,D. Kolář,74,J. Kopic,73,1
Viktoria Plzeň,Attacker,M. Krmenčík,75,J. Řezníček,65,10
Alanyaspor,Goalkeeper,U. Ceylan,69,H. Yılmaz,68,1
Alanyaspor,Defender,Baiano,75,M. Demiral,73,2
Alanyaspor,Midfielder,J. Fernandes,76,L. Villafañez,74,2
Alanyaspor,Attacker,P. Cissé,75,Bobô,75,0
Atlético Paranaense,Goalkeeper,Fred Aníbão,76,André Milazisco,71,5
Atlético Paranaense,Defender,Duirval Diniz,74,Vágner Corraldo,72,2
Atlético Paranaense,Midfielder,Sebas Couteira,74,Heltinho Melo,71,3
Atlético Paranaense,Attacker,Erick Gameira,74,Adão Salvadaldo,68,6
Derby County,Goalkeeper,S. Carson,73,K. Roos,62,11
Derby County,Defender,C. Davies,76,R. Keogh,72,4
Derby County,Midfielder,M. Mount,75,T. Huddlestone,73,2
Derby County,Attacker,H. Wilson,72,M. Waghorn,72,0
Kawasaki Frontale,Goalkeeper,Jung Sung Ryong,71,S. Arai,65,6
Kawasaki Frontale,Defender,Elsinho,71,S. Taniguchi,69,2
Kawasaki Frontale,Midfielder,K. Nakamura,73,M. Saito,70,3
Kawasaki Frontale,Attacker,Y. Kobayashi,76,S. Akasaki,66,10
Cardiff City,Goalkeeper,A. Smithies,73,N. Etheridge,73,0
Cardiff City,Defender,S. Bamba,75,G. Cunningham,74,1
Cardiff City,Midfielder,Camarasa,76,H. Arter,75,1
Cardiff City,Attacker,B. Reid,73,K. Zohore,72,1
Aston Villa,Goalkeeper,O. Nyland,72,André Moreira,71,1
Aston Villa,Defender,J. Chester,74,A. Elmohamady,72,2
Aston Villa,Midfielder,J. Grealish,76,A. Adomah,75,1
Aston Villa,Attacker,J. Kodjia,74,T. Abraham,74,0
Guadalajara,Goalkeeper,R. Gudiño,70,M. Jiménez,67,3
Guadalajara,Defender,J. Pereira,72,J. Sánchez,71,1
Guadalajara,Midfielder,I. Brizuela,76,M. Pérez,73,3
Guadalajara,Attacker,A. Pulido,74,A. Zaldívar,72,2
Dijon FCO,Goalkeeper,R. Rúnarsson,71,B. Allain,61,10
Dijon FCO,Defender,L. Ciman,75,V. Rosier,74,1
Dijon FCO,Midfielder,N. Sliti,76,Kwon Chang Hoon,75,1
Dijon FCO,Attacker,Júlio Tavares,75,B. Jeannot,72,3
Santos Laguna,Goalkeeper,J. Orozco,76,C. Acevedo,70,6
Santos Laguna,Defender,Dória,74,M. Nervo,73,1
Santos Laguna,Midfielder,J. Vázquez,76,O. Martínez,74,2
Santos Laguna,Attacker,J. Furch,74,J. Rodríguez,74,0
Málaga CF,Goalkeeper,Munir,72,P. Kieszek,71,1
Málaga CF,Defender,Luís Hernández,75,F. Ricca,74,1
Málaga CF,Midfielder,Dani Pacheco,74,J. Añor,73,1
Málaga CF,Attacker,G. Blanco,73,J. Harper,71,2
Vitória,Goalkeeper,Traeira Lopes,67,Carlos Travisso,63,4
Vitória,Defender,Victildinho,76,Silas Almeim,75,1
Vitória,Midfielder,Jacson Zonta,74,Leo Caldeirinha,74,0
Vitória,Attacker,Cristian Lodeira,72,Josué da Feira,72,0
Çaykur Rizespor,Goalkeeper,S. Ujkani,72,G. Akkan,67,5
Çaykur Rizespor,Defender,J. Brabec,70,D. Ismail,69,1
Çaykur Rizespor,Midfielder,A. Umar,76,M. Çağıran,75,1
Çaykur Rizespor,Attacker,O. Gladkyi,74,V. Muriqi,68,6
U.N.A.M.,Goalkeeper,M. Fraga,71,A. Saldívar,70,1
U.N.A.M.,Defender,Arribas,74,L. Quintana,70,4
U.N.A.M.,Midfielder,M. Alustiza,75,M. Rodríguez,72,3
U.N.A.M.,Attacker,J. Iturbe,76,F. Mora,74,2
Nottingham Forest,Goalkeeper,C. Pantilimon,71,L. Steele,68,3
Nottingham Forest,Defender,S. Byram,72,Tobias Figueiredo,71,1
Nottingham Forest,Midfielder,Gil Dias,75,C. Yacob,73,2
Nottingham Forest,Attacker,H. Soudani,76,K. Ansarifard,75,1
Royal Antwerp FC,Goalkeeper,S. Bolat,74,J. Teunckens,64,10
Royal Antwerp FC,Defender,J. Van Damme,73,S. Juklerød,72,1
Royal Antwerp FC,Midfielder,L. Refaelov,75,A. Baby,71,4
Royal Antwerp FC,Attacker,D. Mbokani,76,Ivo Rodrigues,73,3
Club Tijuana,Goalkeeper,G. Lajud,72,L. Michel,66,6
Club Tijuana,Defender,L. Fuentes,71,J. Velázquez,71,0
Club Tijuana,Midfielder,D. González,76,D. Rodríguez,75,1
Club Tijuana,Attacker,J. Lucero,73,M. Bolaños,73,0
Sport Club do Recife,Goalkeeper,Rafael de Aseiro,67,Jailson Acuna,66,1
Sport Club do Recife,Defender,Davi Parrela,76,Mauro Cildinho,73,3
Sport Club do Recife,Midfielder,Alvildo Sousa,74,Jairinhazo,72,2
Sport Club do Recife,Attacker,Walter Silvieiro,72,Jonaldo Santoso,68,4
Real Salt Lake,Goalkeeper,N. Rimando,71,A. Horwath,62,9
Real Salt Lake,Defender,M. Silva,70,J. Glad,69,1
Real Salt Lake,Midfielder,A. Rusnák,76,K. Beckerman,71,5
Real Salt Lake,Attacker,D. Kreilach,74,J. Plata,74,0
AZ Alkmaar,Goalkeeper,M. Bizot,75,P. Velthuizen,69,6
AZ Alkmaar,Defender,J. Svensson,75,T. Koopmeiners,74,1
AZ Alkmaar,Midfielder,F. Midtsjø,75,G. Til,74,1
AZ Alkmaar,Attacker,B. Johnsen,73,O. Idrissi,72,1
SK Slavia Praha,Goalkeeper,O. Kolář,69,P. Kovář,66,3
SK Slavia Praha,Defender,S. Deli,74,J. Bořil,73,1
SK Slavia Praha,Midfielder,M. Stoch,75,A. Bălută,74,1
SK Slavia Praha,Attacker,M. Škoda,73,M. van Buren,70,3
Willem II,Goalkeeper,M. Branderhorst,68,T. Wellenreuther,68,0
Willem II,Defender,J. Peters,69,T. Meißner,68,1
Willem II,Midfielder,Pol Llonch,70,V. Anita,69,1
Willem II,Attacker,Fran Sol,75,A. Özbiliz,73,2
Middlesbrough,Goalkeeper,D. Randolph,73,A. Lonergan,65,8
Middlesbrough,Defender,A. Flint,75,Daniel Ayala,74,1
Middlesbrough,Midfielder,M. Bešić,74,A. Clayton,73,1
Middlesbrough,Attacker,M. Braithwaite,75,B. Assombalonga,73,2
Dinamo Zagreb,Goalkeeper,D. Livaković,72,D. Zagorac,68,4
Dinamo Zagreb,Defender,E. Dilaver,75,K. Théophile-Catherine,74,1
Dinamo Zagreb,Midfielder,Dani Olmo,75,M. Oršić,72,3
Dinamo Zagreb,Attacker,M. Gavranović,73,B. Petković,71,2
Club Atlas,Goalkeeper,E. Hernández,64,S. Hernández,63,1
Club Atlas,Defender,O. Gonzalez,73,L. Jiménez,72,1
Club Atlas,Midfielder,R. Álvarez,75,A. Andrade,72,3
Club Atlas,Attacker,O. Rivero,72,J. Duque,71,1
Granada CF,Goalkeeper,Rui Silva,69,Aarón,62,7
Granada CF,Defender,Víctor Díaz,71,Álex Martínez,71,0
Granada CF,Midfielder,Fran Rico,75,N. Aguirre,72,3
Granada CF,Attacker,A. Ramos,73,Rodri,70,3
Sydney FC,Goalkeeper,A. Cisak,63,A. Redmayne,63,0
Sydney FC,Defender,A. Wilkinson,71,J. van der Linden,68,3
Sydney FC,Midfielder,M. Ninković,75,S. de Jong,73,2
Sydney FC,Attacker,A. Le Fondre,68,A. Brosque,67,1
Sporting Kansas City,Goalkeeper,T. Melia,74,A. Zendejas,61,13
Sporting Kansas City,Defender,I. Opara,75,Fontàs,75,0
Sporting Kansas City,Midfielder,F. Gutiérrez,75,Ilie Sánchez,74,1
Sporting Kansas City,Attacker,Gerso,73,J. Russell,72,1
SV Zulte-Waregem,Goalkeeper,S. Bossut,71,L. Bostyn,67,4
SV Zulte-Waregem,Defender,E. Demir,69,D. De fauw,69,0
SV Zulte-Waregem,Midfielder,T. Bongonda,75,N. De Pauw,71,4
SV Zulte-Waregem,Attacker,H. Harbaoui,73,C. Bedia,68,5
Philadelphia Union,Goalkeeper,A. Blake,75,J. McCarthy,65,10
Philadelphia Union,Defender,K. Rosenberry,70,J. Elliott,68,2
Philadelphia Union,Midfielder,B. Dočkal,75,F. Picault,69,6
Philadelphia Union,Attacker,D. Accam,69,K. Przybyłko,68,1
Real Oviedo,Goalkeeper,N. Champagne,71,Alfonso Herrero,70,1
Real Oviedo,Defender,Carlos Hernández,73,J. Forlín,73,0
Real Oviedo,Midfielder,Saúl Berjón,75,Sergio Tejera,73,2
Real Oviedo,Attacker,I. Baldé,73,Joselu,72,1
Pachuca,Goalkeeper,O. Pérez,71,A. Blanco,69,2
Pachuca,Defender,O. Murillo,75,J. Barreiro,72,3
Pachuca,Midfielder,J. Hernández,75,V. Guzmán,75,0
Pachuca,Attacker,F. Jara,74,L. Ulloa,73,1
Boavista FC,Goalkeeper,Bracali,73,Helton Leite,69,4
Boavista FC,Defender,João Talocha,72,Carraça,71,1
Boavista FC,Midfielder,Idris,75,David Simão,74,1
Boavista FC,Attacker,Rafael Lopes,72,Y. Njie,69,3
Atiker Konyaspor,Goalkeeper,S. Kırıntılı,74,E. Taşkıran,69,5
Atiker Konyaspor,Defender,F. Diagne,73,U. Demirok,73,0
Atiker Konyaspor,Midfielder,O. Şahiner,75,P. Hurtado,75,0
Atiker Konyaspor,Attacker,A. Jahović,74,M. Yatabaré,69,5
Kaizer Chiefs,Goalkeeper,V. Vries,65,B. Bvuma,60,5
Kaizer Chiefs,Defender,E. Mathoho,71,R. Mphahlele,71,0
Kaizer Chiefs,Midfielder,W. Katsande,74,B. Parker,72,2
Kaizer Chiefs,Attacker,K. Billiat,75,L. Castro,72,3
GD Chaves,Goalkeeper,Ricardo,75,António Filipe,71,4
GD Chaves,Defender,Djavan,74,Paulinho,73,1
GD Chaves,Midfielder,Renan Bressan,75,Stephen Eustáquio,71,4
GD Chaves,Attacker,William,74,Perdigão,73,1
Palermo,Goalkeeper,A. Brignoli,71,A. Pomini,68,3
Palermo,Defender,S. Rajković,75,H. Aleesami,72,3
Palermo,Midfielder,M. Jajalo,74,I. Chochev,74,0
Palermo,Attacker,I. Nestorovski,74,C. Falletti,72,2
Atlético Nacional,Goalkeeper,F. Monetti,73,C. Vargas,67,6
Atlético Nacional,Defender,D. Bocanegra,75,D. Braghieri,73,2
Atlético Nacional,Midfielder,V. Hernández,75,A. Ramírez,74,1
Atlético Nacional,Attacker,R. Lenis,69,O. Duarte,68,1
Puebla FC,Goalkeeper,N. Vikonis,75,J. Rodríguez,58,17
Puebla FC,Defender,B. Angulo,70,H. Rodríguez,68,2
Puebla FC,Midfielder,A. Chumacero,74,D. Guerrero,71,3
Puebla FC,Attacker,L. Cavallini,74,F. Micolta,67,7
Perth Glory,Goalkeeper,L. Reddy,62,T. Velaphi,60,2
Perth Glory,Defender,M. Spiranovic,71,T. Mrčela,68,3
Perth Glory,Midfielder,Diego Castro,75,C. Ikonomidis,68,7
Perth Glory,Attacker,A. Keogh,69,B. Santalab,66,3
Panathinaikos FC,Goalkeeper,S. Dioudis,72,K. Kotsaris,67,5
Panathinaikos FC,Defender,E. Insúa,72,M. Johansson,72,0
Panathinaikos FC,Midfielder,A. Mounier,75,A. Chatzigiovanis,70,5
Panathinaikos FC,Attacker,F. Macheda,71,N. Vergos,66,5
FC Sion,Goalkeeper,A. Mitryushkin,69,A. Maisonnial,66,3
FC Sion,Defender,Raphael Rossi,71,E. Lenjani,69,2
FC Sion,Midfielder,A. Song,75,P. Kasami,72,3
FC Sion,Attacker,Adryan,71,R. Acquafresca,67,4
Vitória de Setúbal,Goalkeeper,Joel Pereira,71,Cristiano,68,3
Vitória de Setúbal,Defender,Nuno Pinto,75,Vasco Fernandes,72,3
Vitória de Setúbal,Midfielder,Costinha,73,Rúben Micael,72,1
Vitória de Setúbal,Attacker,Frédéric Mendy,73,K. Erasmus,69,4
New York Red Bulls,Goalkeeper,L. Robles,74,R. Meara,67,7
New York Red Bulls,Defender,K. Lawrence,74,A. Long,73,1
New York Red Bulls,Midfielder,Kaku,75,D. Royer,74,1
New York Red Bulls,Attacker,D. Etienne Jr.,68,B. White,63,5
Al Shabab,Goalkeeper,F. Ben Mustapha,68,F. Al Habib,58,10
Al Shabab,Defender,V. Găman,72,D. Benlamri,71,1
Al Shabab,Midfielder,Somália,71,Arthur Caike,69,2
Al Shabab,Attacker,C. Budescu,75,N. Al Shamrani,69,6
Monarcas Morelia,Goalkeeper,S. Sosa,74,L. Malagón,60,14
Monarcas Morelia,Defender,G. Achilier,71,E. Loeschbor,70,1
Monarcas Morelia,Midfielder,D. Valdés,75,C. Fierro,70,5
Monarcas Morelia,Attacker,G. Lezcano,74,I. Ávila,72,2
Albacete BP,Goalkeeper,Tomeu Nadal,69,Caro,67,2
Albacete BP,Defender,S. Gentiletti,75,Arroyo,71,4
Albacete BP,Midfielder,Susaeta,69,Eugeni,68,1
Albacete BP,Attacker,R. Zozulya,71,Ortuño,70,1
Rangers FC,Goalkeeper,A. McGregor,75,W. Foderingham,72,3
Rangers FC,Defender,J. Tavernier,74,C. Goldson,73,1
Rangers FC,Midfielder,R. Jack,74,S. Arfield,73,1
Rangers FC,Attacker,A. Morelos,74,Daniel Candeias,74,0
Sparta Praha,Goalkeeper,F. Nita,71,D. Bičík,66,5
Sparta Praha,Defender,O. Zahustel,72,L. Štetina,72,0
Sparta Praha,Midfielder,K. Kanga,75,T. Ben Haim,72,3
Sparta Praha,Attacker,J. Šural,73,V. Kadlec,70,3
Legia Warszawa,Goalkeeper,A. Malarz,72,R. Cierzniak,66,6
Legia Warszawa,Defender,M. Pazdan,73,A. Jędrzejczyk,70,3
Legia Warszawa,Midfielder,D. Antolić,70,K. Hämäläinen,70,0
Legia Warszawa,Attacker,Carlitos,75,J. Niezgoda,69,6
Urawa Red Diamonds,Goalkeeper,S. Nishikawa,71,N. Iwadate,60,11
Urawa Red Diamonds,Defender,Maurício,74,T. Makino,71,3
Urawa Red Diamonds,Midfielder,Y. Kashiwagi,70,Q. Martinus,70,0
Urawa Red Diamonds,Attacker,Fabrício,75,S. Koroki,72,3
Rosario Central,Goalkeeper,J. Ledesma,68,J. Ayala,65,3
Rosario Central,Defender,M. Caruzzo,75,G. Bettini,71,4
Rosario Central,Midfielder,D. Arismendi,74,F. Carrizo,74,0
Rosario Central,Attacker,M. Ruben,74,F. Zampedri,74,0
Stade de Reims,Goalkeeper,E. Mendy,73,J. Carrasso,69,4
Stade de Reims,Defender,G. Konan,75,B. Engels,75,0
Stade de Reims,Midfielder,M. Doumbia,71,T. Dingomé,71,0
Stade de Reims,Attacker,Suk Hyun Jun,74,P. Chavarría,73,1
ADO Den Haag,Goalkeeper,R. Zwinkels,69,I. Groothuizen,67,2
ADO Den Haag,Defender,W. Kanon,73,T. Beugelsdijk,72,1
ADO Den Haag,Midfielder,A. El Khayati,75,L. Immers,72,3
ADO Den Haag,Attacker,R. Kishna,73,T. Necid,72,1
Chapecoense,Goalkeeper,Nivo Serpinho,73,Márcio Velinha,68,5
Chapecoense,Defender,Kel Perinho,74,Benjamin Meseira,73,1
Chapecoense,Midfielder,Dani Rochelinhas,75,Emerson Avintes,71,4
Chapecoense,Attacker,Nilsito Vilela,72,Venanzio Meirás,67,5
FC Midtjylland,Goalkeeper,J. Hansen,75,M. Andersen,68,7
FC Midtjylland,Defender,E. Sviatchenko,74,K. Hansen,73,1
FC Midtjylland,Midfielder,J. Poulsen,73,T. Sparv,70,3
FC Midtjylland,Attacker,G. Wikheim,73,R. Hassan,71,2
San Jose Earthquakes,Goalkeeper,A. Tarbell,64,J. Marcinkowski,60,4
San Jose Earthquakes,Defender,G. Kashia,75,F. Jungwirth,70,5
San Jose Earthquakes,Midfielder,V. Qazaishvili,73,A. Godoy,71,2
San Jose Earthquakes,Attacker,D. Hoesen,70,C. Wondolowski,70,0
Belgrano de Córdoba,Goalkeeper,C. Rigamonti,73,L. Acosta,71,2
Belgrano de Córdoba,Defender,H. Menosse,70,T. Guidara,68,2
Belgrano de Córdoba,Midfielder,F. Lértora,72,L. Sequeira,70,2
Belgrano de Córdoba,Attacker,M. Suárez,75,A. Balboa,66,9
Brescia,Goalkeeper,E. Alfonso,68,L. Andrenacci,63,5
Brescia,Defender,D. Gastaldello,71,S. Romagnoli,70,1
Brescia,Midfielder,L. Tremolada,70,L. Morosini,69,1
Brescia,Attacker,A. Donnarumma,75,E. Torregrossa,69,6
Kashima Antlers,Goalkeeper,Kwoun Sun Tae,72,H. Sogahata,68,4
Kashima Antlers,Defender,G. Shoji,75,A. Uchida,71,4
Kashima Antlers,Midfielder,K. Misao,69,Y. Endo,68,1
Kashima Antlers,Attacker,Serginho,73,Y. Suzuki,71,2
CD Everton de Viña del Mar,Goalkeeper,C. Toselli,75,F. Torgnascioli,64,11
CD Everton de Viña del Mar,Defender,C. Suárez,70,C. Rodríguez,68,2
CD Everton de Viña del Mar,Midfielder,K. Medel,68,I. Ochoa,67,1
CD Everton de Viña del Mar,Attacker,J. Cuevas,72,P. Rubio,72,0
Fortuna Düsseldorf,Goalkeeper,M. Rensing,73,R. Wolf,72,1
Fortuna Düsseldorf,Defender,K. Ayhan,75,N. Gießelmann,73,2
Fortuna Düsseldorf,Midfielder,T. Usami,74,B. Raman,73,1
Fortuna Düsseldorf,Attacker,R. Hennings,73,D. Lukebakio,73,0
SD Huesca,Goalkeeper,A. Werner,70,A. Jovanović,68,2
SD Huesca,Defender,Insua,74,Luisinho,74,0
SD Huesca,Midfielder,Melero,75,D. Musto,74,1
SD Huesca,Attacker,J. Hernández,75,S. Longo,72,3
Preston North End,Goalkeeper,C. Maxwell,70,D. Rudd,70,0
Preston North End,Defender,D. Fisher,71,T. Clarke,71,0
Preston North End,Midfielder,A. Browne,73,C. Robinson,72,1
Preston North End,Attacker,S. Maguire,71,L. Moult,69,2
Club Atlético Talleres,Goalkeeper,G. Herrera,75,M. Caranta,65,10
Club Atlético Talleres,Defender,J. Gandolfi,73,C. Quintana,71,2
Club Atlético Talleres,Midfielder,P. Guiñazú,75,A. Cubas,72,3
Club Atlético Talleres,Attacker,J. Ramírez,73,B. Montenegro,69,4
Benevento,Goalkeeper,C. Puggioni,72,L. Montipó,66,6
Benevento,Defender,C. Maggio,75,G. Letizia,72,3
Benevento,Midfielder,A. Tello,72,A. Nocerino,71,1
Benevento,Attacker,F. Ricci,72,M. Coda,71,1
Vitesse,Goalkeeper,Eduardo,74,R. Pasveer,69,5
Vitesse,Defender,V. Karavaev,73,A. Büttner,73,0
Vitesse,Midfielder,T. Serero,75,N. Foor,71,4
Vitesse,Attacker,C. Musonda,75,T. Matavž,74,1
Gimnasia y Esgrima La Plata,Goalkeeper,A. Martín Arias,75,S. Moyano,66,9
Gimnasia y Esgrima La Plata,Defender,M. Coronel,70,L. Licht,70,0
Gimnasia y Esgrima La Plata,Midfielder,F. Rinaudo,73,V. Ayala,72,1
Gimnasia y Esgrima La Plata,Attacker,S. Silva,71,M. Guevgeozián,66,5
Houston Dynamo,Goalkeeper,T. Deric,68,C. Seitz,67,1
Houston Dynamo,Defender,A. Machado,70,D. Beasley,70,0
Houston Dynamo,Midfielder,A. Elis,75,R. Quioto,72,3
Houston Dynamo,Attacker,M. Manotas,70,R. Peña,68,2
Club Necaxa,Goalkeeper,H. González,71,Y. Gutiérrez,61,10
Club Necaxa,Defender,B. Beckeles,69,V. Alvarado,68,1
Club Necaxa,Midfielder,D. Álvarez,72,D. Villalpando,72,0
Club Necaxa,Attacker,B. Fernández,73,C. Riaño,72,1
Norwich City,Goalkeeper,T. Krul,73,M. McGovern,68,5
Norwich City,Defender,T. Klose,75,G. Hanley,72,3
Norwich City,Midfielder,E. Buendía,72,T. Trybull,72,0
Norwich City,Attacker,T. Pukki,74,Nélson Oliveira,73,1
Holstein Kiel,Goalkeeper,K. Kronholm,70,D. Reimann,63,7
Holstein Kiel,Defender,D. Schmidt,70,H. Wahl,70,0
Holstein Kiel,Midfielder,Lee Jae Sung,75,A. Mühling,69,6
Holstein Kiel,Attacker,K. Schindler,72,B. Girth,68,4
Ettifaq FC,Goalkeeper,R. M'Bolhi,68,A. Al Saleh,61,7
Ettifaq FC,Defender,R. Arias,67,H. El Sayed,66,1
Ettifaq FC,Midfielder,B. Alemán,75,Farley,69,6
Ettifaq FC,Attacker,C. Guanca,69,H. Al Hazaa,66,3
Kayserispor,Goalkeeper,S. Lung,74,M. Yıldırım,70,4
Kayserispor,Defender,J. Kana-Biyik,74,O. Kucher,74,0
Kayserispor,Midfielder,D. Türüç,75,T. Chery,72,3
Kayserispor,Attacker,A. Gyan,74,A. Kravets,73,1
1. FC Heidenheim 1846,Goalkeeper,K. Müller,71,V. Eicher,67,4
1. FC Heidenheim 1846,Defender,A. Feick,70,N. Theuerkauf,69,1
1. FC Heidenheim 1846,Midfielder,M. Schnatterer,75,N. Dovedan,69,6
1. FC Heidenheim 1846,Attacker,R. Glatzel,68,D. Thomalla,66,2
Brentford,Goalkeeper,D. Bentley,71,L. Daniels,65,6
Brentford,Defender,H. Dalsgaard,72,J. Jeanvier,72,0
Brentford,Midfielder,R. Sawyers,71,J. McEachran,70,1
Brentford,Attacker,O. Watkins,74,N. Maupay,74,0
Yeni Malatyaspor,Goalkeeper,E. Özbir,68,F. Farnolle,66,2
Yeni Malatyaspor,Defender,A. Mina,71,S. Çiftpınar,69,2
Yeni Malatyaspor,Midfielder,N. Barazite,73,Guilherme,73,0
Yeni Malatyaspor,Attacker,K. Boutaïb,74,O. Şişmanoğlu,72,2
Lobos BUAP,Goalkeeper,J. Rodríguez,74,F. Canales,66,8
Lobos BUAP,Defender,F. Rodríguez,67,M. Orozco,66,1
Lobos BUAP,Midfielder,B. Rabello,70,J. Zárate,70,0
Lobos BUAP,Attacker,C. Kazim-Richards,69,D. Jiménez,68,1
Bursaspor,Goalkeeper,O. Kocuk,64,M. Şengezer,63,1
Bursaspor,Defender,A. Chedjou,74,S. Abdullahi,72,2
Bursaspor,Midfielder,H. Saivet,73,T. Torun,72,1
Bursaspor,Attacker,D. Sakho,74,J. Kembo-Ekoko,74,0
Ceará Sporting Club,Goalkeeper,Victor Fachinhas,70,Nelson Freitosa,64,6
Ceará Sporting Club,Defender,Hugo Goiteira,74,Marlion Simões,72,2
Ceará Sporting Club,Midfielder,Caio Milaçar,74,Nascimentardo,71,3
Ceará Sporting Club,Attacker,Vagnão Junior,64,Dêniro Prestes,64,0
Sheffield United,Goalkeeper,D. Henderson,72,S. Moore,67,5
Sheffield United,Defender,J. O'Connell,73,E. Stevens,72,1
